,Unnamed: 0.1,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,msd_track_id
3604,3604,19046,3h39RyWGw1toh9dpSeNbdE,Creedence Clearwater Revival,60s Christmas Party,Bad Moon Rising,0,141600,False,0.508,0.769,2,-5.973,1,0.0326,0.0577,6.1e-06,0.063,0.939,178.95,4,country,TRQSMND128F146EC2E
3612,3612,19070,6eWeTcpAu5F68IQf2xWTU3,Shania Twain,Los Clásicos del Pop 90s,You're Still The One,3,212560,False,0.558,0.54,3,-7.2,1,0.0305,0.501,0.0,0.252,0.654,133.774,4,country,TRCUNLB128E0783EC3
3613,3613,19072,5VCy743OaUmLpijIonFmaw,Shania Twain,Los Clásicos del Pop 90s,Man! I Feel Like A Woman!,3,233000,False,0.654,0.889,10,-3.058,1,0.0513,0.64,0.0,0.297,0.73,125.018,4,country,TRSZNIY128F14A437E
3614,3614,19073,0Qi2JkCpl4VrTVC6UqxSGX,Shania Twain,Coffee Break,You're Still The One,0,212560,False,0.558,0.54,3,-7.2,1,0.0305,0.501,0.0,0.252,0.654,133.774,4,country,TRCUNLB128E0783EC3
3615,3615,19074,7jkbE3Gxpqp58m4bn5FWu7,Shania Twain,90's Music Grandi Successi,You're Still The One,0,212560,False,0.558,0.54,3,-7.2,1,0.0305,0.501,0.0,0.252,0.654,133.774,4,country,TRCUNLB128E0783EC3
3616,3616,19088,2bbBBFlA66OVmzX9BMD9Dh,Shania Twain,Tailgate Country,Man! I Feel Like A Woman!,0,233000,False,0.654,0.889,10,-3.058,1,0.0513,0.64,0.0,0.297,0.73,125.018,4,country,TRSZNIY128F14A437E
3617,3617,19200,2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,Pendulum (Expanded Edition),Have You Ever Seen The Rain,84,160133,False,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,4,country,TRQYSVX128F146EC38
3625,3625,19302,1wb4P4F0sxAQ2KXrRvsx6n,Shania Twain,Come On Over,You're Still The One,78,212200,False,0.585,0.494,3,-8.751,1,0.0353,0.363,0.0,0.0886,0.634,133.822,4,country,TRCUNLB128E0783EC3
3626,3626,19359,3wyJhkm39HVs3Riocur2Rf,Billy Ray Cyrus,90's Music Grandi Successi,Achy Breaky Heart,0,206800,False,0.768,0.753,9,-5.63,1,0.0289,0.0541,0.0,0.0893,0.964,121.789,4,country,TRMVTWF128F42ACDEC
3627,3627,19434,5RTYEflSyR3t9mp6nX7bjf,Steely Dan,70s Christmas Party,Reelin' In The Years,0,275466,False,0.52,0.758,2,-9.92,1,0.0363,0.115,0.0,0.109,0.706,135.349,4,country,TRGBGVQ128F92CEAA2
3643,3643,19443,4bLCib4WnSGbkPTx6hln2x,Steely Dan,On air 70's Hits,Reelin' In The Years,0,275466,False,0.52,0.758,2,-9.92,1,0.0363,0.115,0.0,0.109,0.706,135.349,4,country,TRGBGVQ128F92CEAA2
3668,3668,19476,3Lu4WAsmpag6CZSN0H3Wor,Steely Dan,Fiesta temática 70s,Do It Again,0,354933,False,0.695,0.583,2,-8.265,0,0.0303,0.157,7.61e-05,0.0576,0.96,124.61,4,country,TRLSTBR128F9329F84
3677,3677,19545,0d7MzvPpaFnPuyqCPjWEEt,Eli Young Band,REGNIG DAG,When It Rains,0,256066,False,0.604,0.666,0,-2.955,1,0.0309,0.172,4.48e-06,0.236,0.24,120.056,4,country,TRPKDVQ128F92CDAF4
3678,3678,19553,4J0DbyODwZJcmIAiTSJfMF,John Denver,Back Home Again,Annie's Song,71,180693,False,0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,3,country,TRJOFAL128F428CAB8
3694,3694,19576,0oYyoE6MRQVa64FN9XxU7c,Trisha Yearwood,Country USA,XXX's And OOO's (An American Girl),0,167840,False,0.704,0.735,0,-5.68,1,0.031,0.18,0.0,0.172,0.766,125.815,4,country,TRVLJHI128E0791742
3695,3695,19608,5KqldkCunQ2rWxruMEtGh0,Kenny Rogers,The Gambler,The Gambler,75,214880,False,0.671,0.501,4,-13.119,1,0.0594,0.342,0.0,0.194,0.86,87.04,4,country,TRPETJN12903CB60C2
3696,3696,19611,2SpEHTbUuebeLkgs9QB7Ue,Dolly Parton,Jolene,Jolene,73,161533,False,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,4,country,TRCFSXM12903CC84F4
3697,3697,19646,4LILQ0tq8SoF29dkAX6RXf,Joe Diffie,16 Biggest Hits,Pickup Man,46,216400,False,0.712,0.745,7,-7.141,1,0.0389,0.408,0.0,0.346,0.843,140.621,4,country,TRXUDSE12903CC607D
3699,3699,19658,6sxptembJVty4sNtcPMAVz,Shania Twain,Come On Over,Man! I Feel Like A Woman!,78,234493,False,0.657,0.639,10,-7.527,1,0.0412,0.581,0.0,0.278,0.674,124.882,4,country,TRSZNIY128F14A437E
3700,3700,19661,6qc34bnVOyqGDPni8H5W0U,Lonestar,Lonely Grill,Amazed,71,240866,False,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,4,country,TRHXPTZ12903CC84C7
3702,3702,19663,1PpbrbgsXRXeKw1GnZMEv7,Don Williams,I Believe In You,I Believe In You,59,246440,False,0.512,0.212,7,-21.426,1,0.0483,0.88,0.00573,0.115,0.51,117.756,3,country,TRBQQFA128F93121C4
3703,3703,19672,20OFwXhEXf12DzwXmaV7fj,Creedence Clearwater Revival,Green River (Expanded Edition),Bad Moon Rising,80,141600,False,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,4,country,TRQSMND128F146EC2E
3705,3705,19751,4w3tQBXhn5345eUXDGBWZG,Dolly Parton,9 To 5 And Odd Jobs,9 to 5,77,162466,False,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4,country,TRYSVWX128F425D745
3706,3706,19782,2vtwuaAGoDPlsLujnfTYEu,Steve Winwood,Mirando las nubes,Valerie,0,246333,False,0.679,0.766,9,-4.993,1,0.0291,0.32,0.015,0.111,0.679,116.269,4,country,TRDCOWK128F92C5047
3722,3722,19787,3jwcudvYIksoAjU0x6gagd,Steve Winwood,80s Bangers Vol. 2,Valerie,0,246333,False,0.679,0.766,9,-4.993,1,0.0291,0.32,0.015,0.111,0.679,116.269,4,country,TRDCOWK128F92C5047
3738,3738,19819,064SVQsmWl5EF0zahmzkQk,The Bellamy Brothers,Bellamy Brothers,Let Your Love Flow,70,198760,False,0.679,0.553,3,-14.687,1,0.0316,0.0611,7.16e-06,0.139,0.946,109.071,4,country,TRAKUMK128F933AA30
3741,3741,19847,1CfnMFQtuay15XHlNGpCQa,Roger Miller,The Greatest Jazz Mix,King Of The Road - Single Version,0,148280,False,0.69,0.366,11,-10.414,1,0.0634,0.62,0.0,0.121,0.544,118.289,4,country,TRXGHXV12903D06F53
3742,3742,19856,7BD50ATrF3Vab5FQy7vtK8,LeAnn Rimes,Greatest Hits,How Do I Live,69,266973,False,0.577,0.462,2,-7.989,1,0.0279,0.128,0.0,0.0822,0.258,128.303,4,country,TRGJWNK128F9351E94
3743,3743,19862,2EoIt9vdgFRNW03u5IvFsQ,Billy Ray Cyrus,Some Gave All,Achy Breaky Heart,68,203373,False,0.8,0.563,9,-10.209,1,0.0303,0.051,0.0,0.0797,0.961,121.808,4,country,TRMVTWF128F42ACDEC
3744,3744,19865,59kHPbwyyCApYA8RQQEuXm,Alan Jackson,A Lot About Livin' (And A Little 'Bout Love),Chattahoochee,72,148160,False,0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533,4,country,TRKMUBL128F42943A5
3747,3747,19902,5eQtR62IZ8P8qZM2pSD9Ip,Shania Twain,Up! (Red and Green Versions),Forever And For Always,59,283000,False,0.469,0.722,6,-4.806,1,0.0326,0.232,0.0,0.123,0.529,85.984,4,country,TRKNQRT128E0783EA7
3748,3748,19920,5fdhThPDe6jQQDqCyWrdAn,Dolly Parton,Jolene (Expanded Edition),Jolene,70,161533,False,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,4,country,TRCFSXM12903CC84F4
3749,3749,19959,7Fq9RwQxSn3kW85PrDUf0M,Brooks & Dunn,#1s ... and then some,Boot Scootin' Boogie,71,198226,False,0.656,0.817,11,-4.296,0,0.0435,0.22,0.0,0.304,0.862,130.448,4,country,TRDDOJM128F428CEE1
3750,3750,19994,0nYYvSzTI0vM8WBuZbMHE9,Juice Newton,Country Greats - Juice Newton,Queen Of Hearts,41,207293,False,0.647,0.821,2,-11.312,1,0.0535,0.564,0.000629,0.235,0.969,169.131,4,country,TRQFDMK128F4261E4E
3751,3751,20164,5LHnaiB8E3x95ZbYFmOUfk,Lady Gaga,OO's Music Grandi Successi,Paparazzi,4,208173,False,0.761,0.734,5,-2.871,0,0.0428,0.129,0.0,0.086,0.375,114.907,4,dance,TROWHKT128F934B7E2
3753,3753,20167,4sHEJfV6OepfvImOFoxAC8,Lady Gaga,Happy Haunted Halloween Tunes,Monster,3,249280,True,0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973,4,dance,TRQUJJJ128F93450B9
3754,3754,20169,2f7ifWKZAqCp6UC9T6UfdM,Lady Gaga,Spooky Scary Season,Monster,2,249280,True,0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973,4,dance,TRQUJJJ128F93450B9
3755,3755,20172,5e2rnA4C0clXP7FoNmhmDi,Lady Gaga,Pop & Halloween,Monster,1,249280,True,0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973,4,dance,TRQUJJJ128F93450B9
3756,3756,20175,74bJTLtm1ptUleegAx2CBG,Lady Gaga,Halloween Party 2022,Monster,2,249280,True,0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973,4,dance,TRQUJJJ128F93450B9
3757,3757,20182,3cW73vgUDDnN34hBj0cs8i,Lady Gaga,Twisted Halloween Hits,Monster,0,249280,True,0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973,4,dance,TRQUJJJ128F93450B9
3758,3758,20184,53vOfxIeZu39LfiCM0Fnm4,Lady Gaga,Pumpkin Patch Hits,Monster,0,249280,True,0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973,4,dance,TRQUJJJ128F93450B9
3759,3759,20190,7oBxxv6C5ttINeFHzOVwS4,Lady Gaga,Halloween 2022,Bad Romance,0,294573,True,0.695,0.921,0,-3.752,1,0.0363,0.00314,5.26e-05,0.0842,0.714,119.007,4,dance,TRAWXCT128F934AAAF
3761,3761,20192,4zCgJHtmM7QVRfS3Q0dNSi,Lady Gaga,Halloween 2022,Monster,0,249280,True,0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973,4,dance,TRQUJJJ128F93450B9
3762,3762,20193,1ncPxe9s9jkoe1HcshDitx,Lady Gaga,Halloween Kids Party 2022,Bad Romance,0,294506,False,0.693,0.924,0,-3.706,1,0.0392,0.0034,4.77e-05,0.0897,0.714,118.984,4,dance,TRAWXCT128F934AAAF
3764,3764,20194,368e9ONaoEX3imOKHDZo9X,Lady Gaga,Halloween Scary Party,Bad Romance,0,294506,False,0.693,0.924,0,-3.706,1,0.0392,0.0034,4.77e-05,0.0897,0.714,118.984,4,dance,TRAWXCT128F934AAAF
3766,3766,20195,5YiYJnzsbiAAwIJoYCsa03,Lady Gaga,Halloween Party Canzoni per Bambini 2022,Bad Romance,0,294506,False,0.693,0.924,0,-3.706,1,0.0392,0.0034,4.77e-05,0.0897,0.714,118.984,4,dance,TRAWXCT128F934AAAF
3768,3768,20197,0vZV7k809q5fMDWx2lmBIi,Lady Gaga,Halloween Kids Party 2022,Monster,0,249253,False,0.7,0.808,9,-4.522,0,0.0446,0.00141,0.0,0.611,0.664,120.032,4,dance,TRQUJJJ128F93450B9
3769,3769,20198,0RqQLF5N7q1dVW9hb0Dezb,Lady Gaga,Halloween Scary Party,Monster,0,249253,False,0.7,0.808,9,-4.522,0,0.0446,0.00141,0.0,0.611,0.664,120.032,4,dance,TRQUJJJ128F93450B9
3770,3770,20199,46ugZbObVl2OZ57v7F6btQ,Lady Gaga,Halloween Party Canzoni per Bambini 2022,Monster,0,249253,False,0.7,0.808,9,-4.522,0,0.0446,0.00141,0.0,0.611,0.664,120.032,4,dance,TRQUJJJ128F93450B9
3771,3771,20212,5kihSsgmpiecsJjjKI80QR,Katy Perry,Workout Hits 2023,I Kissed A Girl,3,209866,False,0.824,0.682,9,-4.624,0,0.145,0.00126,0.204,0.0503,0.39,130.026,4,dance,TRONBHE128F92D6309
3772,3772,20219,2lDw5em1PYtYo5XdkxUGwF,Lady Gaga,Helloween Party,Monster,2,249280,True,0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973,4,dance,TRQUJJJ128F93450B9
3773,3773,20248,3cjyW2ZlXMf5ZQvGo5dKUO,Lady Gaga,Halloween Party 2022,Bad Romance,0,294573,True,0.695,0.921,0,-3.752,1,0.0363,0.00314,5.26e-05,0.0842,0.714,119.007,4,dance,TRAWXCT128F934AAAF
3775,3775,20249,0pA5tP2FKEcvEJrPkAJ9ST,Lady Gaga,Halloween Party 2022,Monster,0,249253,False,0.7,0.808,9,-4.522,0,0.0446,0.00141,0.0,0.611,0.664,120.032,4,dance,TRQUJJJ128F93450B9
3776,3776,20596,3mMwmaDw0Z5W0zVgfyA43J,Black Eyed Peas,Almorzando solo,Pump It,0,213613,False,0.648,0.924,9,-3.157,1,0.176,0.00949,0.0,0.564,0.752,153.67,4,dance,TREWPDP128E07896EE
3778,3778,20705,47BBI51FKFwOMlIiX6m8ya,Backstreet Boys,Millennium,I Want It That Way,81,213306,False,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,4,dance,TRELOER128F429E959
3779,3779,20717,0k2GOhqsrxDTAbFFSdNJjT,Sean Paul,The Trinity,Temperature,79,218573,False,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,4,dance,TRQPUGM12903CA4A77
3783,3783,20885,77u3cpprulNjIUYkjYwlhU,Ellie Goulding,Del gusto de mamá,Starry Eyed,4,176933,False,0.51,0.816,5,-5.331,0,0.0352,0.13,8.66e-06,0.224,0.588,149.929,4,dance,TRDTDDW12903D08949
3808,3808,21905,2AGiN5z9F0PjWMudpmbMNv,Sean Paul,Temperature,Temperature,30,218573,False,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,4,dancehall,TRQPUGM12903CA4A77
3809,3809,22113,42kcPmx3bxMU9si9HE4rgr,Children Of Bodom,Hatebreeder,Downfall,51,273706,False,0.443,0.951,3,-3.742,1,0.0541,0.0013,0.887,0.152,0.271,99.472,4,death-metal,TRIHSRQ128F42523FE
3810,3810,22125,0sObxZUKqdPfgjG9ahSlP5,Amon Amarth,Fate of Norns,The Pursuit Of Vikings,58,270253,False,0.506,0.967,6,-2.973,1,0.0451,6.59e-05,0.41,0.167,0.488,129.704,4,death-metal,TRHZBOK128F934B4CA
3811,3811,22318,0x5TiIRvtUWsomumh9s67l,Children Of Bodom,Hate Crew Deathroll,Angels Don't Kill,42,313733,False,0.415,0.88,5,-3.788,1,0.0339,6.76e-06,0.155,0.254,0.189,92.022,4,death-metal,TRCIQZS128F428AEDE
3814,3814,22479,2KPcujYDaukvtfRR0Zmu0O,Slayer,South Of Heaven,Mandatory Suicide,50,245133,False,0.367,0.997,8,-2.911,1,0.106,0.000499,0.694,0.0928,0.269,148.005,4,death-metal,TRHKWAO128F92EA2EA
3816,3816,23486,0QZdbOtajbimysXPJDkU3H,Claptone;Mylo,Drop The Pressure,Drop The Pressure,57,180990,True,0.699,0.869,8,-5.212,1,0.0374,0.101,0.21,0.0767,0.252,124.003,4,deep-house,TRGWBNW128F42AE0B9
3843,3843,23512,2u6Jm2klS4yvAlbSHlxUwI,Robin Schulz;Wes,Alane,Alane,59,175016,False,0.581,0.799,3,-6.66,1,0.164,0.0419,9.43e-06,0.11,0.662,124.002,4,deep-house,TRWXJJQ128F427008B
3844,3844,24007,5sJiLlgQKBL81QCTOkoLB5,Inner City,Paradise,Good Life,58,244773,False,0.716,0.783,4,-12.876,0,0.0496,0.172,0.0346,0.0327,0.952,121.306,4,detroit-techno,TRWYDHB128F428E0D7
3845,3845,24190,4FqwB59uy3uBxjCnzrTcxk,Inner City,Virgin Records: 40 Years Of Disruptions,Good Life,13,236386,False,0.727,0.859,4,-9.545,0,0.0532,0.147,0.0218,0.0361,0.94,121.3,4,detroit-techno,TRWYDHB128F428E0D7
3846,3846,24318,6iqo0fuep9lT3SKLATVDdp,Inner City,Greatest Dance Classics,Good Life,11,244773,False,0.716,0.783,4,-12.876,0,0.0496,0.173,0.0325,0.0327,0.952,121.307,4,detroit-techno,TRWYDHB128F428E0D7
3847,3847,24332,07c61lMwYKYywHlpQ3n14P,Inner City,The Greatest 80s Party!,Good Life,11,226240,False,0.739,0.786,4,-11.045,0,0.0528,0.243,0.0611,0.0459,0.938,121.309,4,detroit-techno,TRWYDHB128F428E0D7
3848,3848,24334,1zMZMi2pbaElenmRD6EATV,Suburban Knight,Nocturbulous Behavior - The Mix,Echo Location,7,183933,False,0.734,0.615,4,-14.165,1,0.248,0.342,0.882,0.139,0.134,134.875,4,detroit-techno,TRGFUYZ128F92F96EF
3849,3849,24956,3YcFHqSpQLGawYKTIhA3H1,Inner City,80s Music Mix,Good Life,5,244773,False,0.716,0.783,4,-12.876,0,0.0496,0.173,0.0325,0.0327,0.952,121.307,4,detroit-techno,TRWYDHB128F428E0D7
3850,3850,24963,0XbOtovmj38QDIZFCaJ3KB,Inner City,80s Dance Classics,Good Life,5,244773,False,0.716,0.783,4,-12.876,0,0.0496,0.173,0.0325,0.0327,0.952,121.307,4,detroit-techno,TRWYDHB128F428E0D7
3851,3851,24968,09kPO649VaKzqvbac5W0Wl,Robert Hood,Shonky In the Hood,Who Taught You Math (Shonky Remix),6,401860,False,0.614,0.754,8,-9.957,1,0.0452,0.0101,0.889,0.137,0.744,128.976,4,detroit-techno,TREJKLG128F9356028
3852,3852,24977,2dz2ynnOWIWA4V1orUtwIu,Inner City,80s Party Hits,Good Life,5,244773,False,0.716,0.783,4,-12.876,0,0.0496,0.173,0.0325,0.0327,0.952,121.307,4,detroit-techno,TRWYDHB128F428E0D7
3853,3853,25008,4PTG3Z6ehGkBFwjybzWkR8,Rick Astley,Whenever You Need Somebody,Never Gonna Give You Up,45,213573,False,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4,disco,TRELBOL12903CC84BC
3865,3865,25010,4cOdK2wGLETKBW3PvgPWqT,Rick Astley,Whenever You Need Somebody,Never Gonna Give You Up,80,213573,False,0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4,disco,TRELBOL12903CC84BC
3877,3877,25017,0rYHxEGSSNtH6UYGsZ9FqW,Kool & The Gang,Disco Boogie Mood,Fresh,5,264093,False,0.845,0.425,11,-15.242,0,0.0343,0.00929,0.0774,0.0366,0.93,116.872,4,disco,TRNTJOQ128E0794306
3879,3879,25019,1MrcbZai6wumuSm6JJ6BUA,Gloria Gaynor,Disco Boogie Mood,I Will Survive,0,296106,False,0.77,0.775,9,-9.571,0,0.0495,0.0227,0.0025,0.297,0.8,116.917,4,disco,TRKDCXK12903CC27D8
3887,3887,25021,0puqSsCdrsmI3HRlpRF5SB,Kool & The Gang,80s Bangers Vol. 1,Celebration,1,298640,False,0.857,0.782,1,-5.633,1,0.0657,0.139,0.0357,0.0495,0.899,120.763,4,disco,TRYDASF128E0784360
3895,3895,25026,1MP2tuC4P2eOAcAa5Eh4s7,Kool & The Gang,Diversión para los peques,Celebration,0,298640,False,0.857,0.782,1,-5.633,1,0.0657,0.139,0.0357,0.0495,0.899,120.763,4,disco,TRYDASF128E0784360
3903,3903,25027,2koluJQJMBHkhQQ7YNYIGm,Diana Ross,Disco Boogie Mood,Upside Down,2,243493,False,0.883,0.923,0,-6.102,1,0.0757,0.145,0.0396,0.0407,0.896,108.189,4,disco,TRKXFWL128E07811BF
3904,3904,25029,27p5NVI8VIEnQvtr3DUCiY,Kool & The Gang,Artsy & Colourful,Celebration,0,298640,False,0.857,0.782,1,-5.633,1,0.0657,0.139,0.0357,0.0495,0.899,120.763,4,disco,TRYDASF128E0784360
3912,3912,25032,1tMDudccEXni3tEQrBf6FL,Diana Ross,80s Bangers Vol. 2,Upside Down,0,243493,False,0.883,0.923,0,-6.102,1,0.0757,0.145,0.0396,0.0407,0.896,108.189,4,disco,TRKXFWL128E07811BF
3913,3913,25036,3olXS7r5RD0pxmBEnI7GGV,Lionel Richie,80s Bangers Vol. 2,Dancing On The Ceiling,0,272280,False,0.688,0.874,0,-6.456,1,0.0521,0.121,0.0,0.394,0.709,133.214,4,disco,TRFUJBZ128F1485E14
3921,3921,25038,6qwh96ZT5T3sXocuNHiDT4,Lionel Richie,Disco Boogie Mood,Dancing On The Ceiling,1,272280,False,0.688,0.874,0,-6.456,1,0.0521,0.121,0.0,0.394,0.709,133.214,4,disco,TRFUJBZ128F1485E14
3929,3929,25051,2FRnf9qhLbvw8fu4IBXx78,Wham!,LAST CHRISTMAS,Last Christmas,74,262960,False,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4,disco,TREHFVL128F42597D9
3933,3933,25054,0ikz6tENMONtK6qGkOrU3c,Wham!,Make It Big,Wake Me Up Before You Go-Go,80,231333,False,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,4,disco,TRLEEUP12903CE26AF
3941,3941,25055,3pf96IFggfQuT6Gafqx2rt,Boney M.,Take The Heat Off Me,Sunny,69,242240,False,0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,4,disco,TRRYCEH128F42BC693
3942,3942,25058,6HPLeKiNm92RbykX2BDTUB,Lionel Richie,Can't Slow Down,Stuck On You,71,192066,False,0.509,0.317,5,-16.063,1,0.0305,0.621,5.28e-05,0.0878,0.247,131.783,4,disco,TRBIMZB128F93263E8
3943,3943,25064,5M8e1as5YJkh02XWaM2J5L,Rick James,Helloween Party,Super Freak,3,204600,False,0.857,0.796,9,-6.866,0,0.0527,0.079,0.0,0.0503,0.944,132.528,4,disco,TRQNADF128F422B89A
3963,3963,25071,1YpHyt9OaNL6Jk2F5pRyCm,Rick James,80s Bangers Vol. 1,Super Freak,1,204600,False,0.857,0.796,9,-6.866,0,0.0527,0.079,0.0,0.0503,0.944,132.528,4,disco,TRQNADF128F422B89A
3983,3983,25072,2byj1f7sfew1edzk5NrHoe,Rick James,Workout Hits 2023,Super Freak,0,204600,False,0.857,0.796,9,-6.866,0,0.0527,0.079,0.0,0.0503,0.944,132.528,4,disco,TRQNADF128F422B89A
4003,4003,25076,2w8OZpyOHhT0ykCqLfejQB,Commodores,On air 70's Hits,Easy,1,256545,False,0.568,0.575,10,-7.769,0,0.029,0.126,0.0001,0.114,0.333,133.093,4,disco,TRERKGV128E078FEC5
4012,4012,25078,1qxWp3d99kXCi037AroSUr,Rick James,Disco Boogie Mood,Super Freak,1,204600,False,0.857,0.796,9,-6.866,0,0.0527,0.079,0.0,0.0503,0.944,132.528,4,disco,TRQNADF128F422B89A
4032,4032,25079,5jGQrDqkxAnsBcZJfvaQg0,Rick James,Happy Haunted Halloween Tunes,Super Freak,0,204600,False,0.857,0.796,9,-6.866,0,0.0527,0.079,0.0,0.0503,0.944,132.528,4,disco,TRQNADF128F422B89A
4052,4052,25080,3576G2Yxt4aDhlRBjamrOE,Commodores,Coffee Break,Three Times A Lady,1,397586,False,0.486,0.242,8,-12.029,1,0.026,0.809,0.000326,0.177,0.0855,74.782,3,disco,TRWPUUA128F933582B
4061,4061,25084,0ZVlFLp6Yl9nHhAcqMzmS9,Rick James,80s Bangers Vol. 2,Give It To Me Baby,0,248626,False,0.693,0.77,11,-6.98,1,0.0762,0.0127,0.000613,0.0655,0.883,119.533,4,disco,TRQEUXG128F1460FA6
4097,4097,25090,1sIycj2RfpZbI4Msmgzlt8,Commodores,Coffee Break,Sail On,0,242813,False,0.463,0.55,1,-9.513,1,0.0394,0.459,0.0004,0.0667,0.452,143.475,4,disco,TRXFDML128F147184A
4115,4115,25095,2e9Nba9tuujC3eehtJ5KQ2,Donna Summer,Disco Boogie Mood,I Feel Love,2,351320,False,0.618,0.965,7,-6.026,1,0.0433,0.0595,0.541,0.318,0.917,126.713,4,disco,TREMZWA128F92C500E
4118,4118,25097,6dL5J3pfax49nEyvqz0ZcU,Rick James,Halloween 2022,Super Freak,0,204600,False,0.857,0.796,9,-6.866,0,0.0527,0.079,0.0,0.0503,0.944,132.528,4,disco,TRQNADF128F422B89A
4138,4138,25101,7rIovIsXE6kMn629b7kDig,Gloria Gaynor,Love Tracks,I Will Survive,69,296106,False,0.77,0.775,9,-9.571,0,0.0495,0.0227,0.00262,0.297,0.802,116.935,4,disco,TRKDCXK12903CC27D8
4146,4146,25102,7wuJGgpTNzbUyn26IOY6rj,Bonnie Tyler,The Very Best of Bonnie Tyler,Total Eclipse of the Heart,77,267360,False,0.431,0.723,8,-5.887,1,0.0568,0.145,0.0,0.374,0.19,130.141,4,disco,TRVYJRW128F4276648
4147,4147,25104,6JNJERZGJwDVgkmbohBw7u,Laura Branigan,Self Control,Self Control,73,246440,False,0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,4,disco,TRKJPCU128F92F2E6C
4151,4151,25152,2dCmGcEOQrMQhMMS8Vj7Ca,Rick James,Street Songs (Deluxe Edition),Super Freak,75,205466,False,0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,4,disco,TRQNADF128F422B89A
4196,4196,25153,5iwyLsQ5yjnCaRrJGyAPZM,Lionel Richie;Diana Ross,Back To Front,Endless Love,71,266800,False,0.483,0.268,10,-11.809,1,0.0257,0.866,0.0163,0.145,0.182,93.47,4,disco,TRJSJSB128F423345F
4197,4197,25158,6HMvJcdw6qLsyV1b5x29sa,Lionel Richie,Can't Slow Down,Hello,68,246933,False,0.424,0.222,9,-15.053,0,0.0391,0.646,0.0,0.148,0.0606,61.648,4,disco,TRNHNHI128F93263EF
4202,4202,25165,3ypMsqUwfNFMiooMLVHfkp,Village People,Can't Stop the Music (Original Soundtrack 1980),YMCA,66,202573,False,0.742,0.696,6,-7.871,1,0.0735,0.19,0.0,0.151,0.84,126.432,3,disco,TRXNXPH128F93061FF
4205,4205,25177,7kAzaxFL9SNlDnCOFENybw,Spandau Ballet,80's,True,0,328293,False,0.744,0.546,0,-9.361,1,0.0297,0.504,0.103,0.0649,0.345,97.415,4,disco,TRHPFJR12903CA41DA
4217,4217,25178,2s2EA8SVJDiYsxRXKiu06I,Laura Branigan,80's,Self Control,0,247146,False,0.808,0.799,6,-8.567,0,0.0343,0.21,0.00404,0.112,0.725,106.678,4,disco,TRKJPCU128F92F2E6C
4221,4221,25188,60SwCMYfYmEOs1rYMY2LGN,Robert Palmer,Fiesta temática 70s,Johnny And Mary,1,235600,False,0.646,0.739,11,-7.296,0,0.0383,0.0074,0.208,0.0251,0.968,152.675,4,disco,TROYICX128F92EFE1C
4222,4222,25194,0I1HETHnwPFoxwcgcWvTdB,Sophie Ellis-Bextor,De ese gran pop de los 00's,Murder On The Dancefloor,0,230013,False,0.735,0.848,1,-5.285,0,0.0308,0.00312,1.15e-05,0.313,0.864,117.317,4,disco,TREMMLW128F92EC8E1
